code,color,y,x1,x2,x3,x4,x5,x6,x7,Overduearea,Planneddeliveryarea,Province,City,Region,x_coord,y_coord,Overdue,Planned,O_rate,color_text,Region_n
scnj001,1,20752.52,7.948310800000001,0,1.7525051,0.5706117557904966,0.833973144114031,0.03255570365183585,0.37872732400377085,20752.52,20752.52,Sichuan,内江市,Western area,-686.9829,2272.767,20752.52,20752.52,1.0,Red,2
gxgl002,1,45528.34,4.9803043,0,1.1788913,0.85340009,0.70185954230726,0.0674344016839936,0.19676732720978388,45528.34,45528.34,Guangxi Zhuangzu,桂林市,Western area,-125.5177,1493.003,45528.34,45528.34,1.0,Red,2
hbes003,1,72369.33,25.441676,0,0.85310372,10.509967,0.9331094298881084,0.04695507608358339,0.30194695293896684,72369.33,72369.33,Hubei,恩施市,Central area,212.2326,2292.885,72369.33,72369.33,1.0,Red,1
cqcq004,1,29996.420000000002,0.0,0,0.94103651,4.7049288,0.837401393989272,0.013236715749527212,0.23258508058407049,29996.420000000002,29996.420000000002,Chongqing City,重庆市,Western area,-204.167,2186.741,29996.420000000002,29996.420000000002,1.0,Red,2
bjhh005,2,25504.17,79.07801,0,1.1569772,2.6869869,0.697691698037563,0.02602653838185755,0.189146685013832,25504.17,25504.17,Inner Mongol,呼和浩特市,Western area,257.7787,3768.07,25504.17,25504.17,1.0,Yellow,2
yxly006,1,60821.93,48.058665,1,1.6364263,1.8208929,0.7290361651282724,0.02087908830619465,0.28172538469445396,60821.93,60821.93,Henan,洛阳市,Central area,327.5666,2622.538,60821.93,60821.93,1.0,Red,1
yxpd007,1,75146.99,15.464008,0,1.8541022,0.29276166,0.7290361651282724,0.02087908830619465,0.28172538469445396,75146.99,75146.99,Henan,平顶山市,Central area,327.5666,2622.538,75146.99,75146.99,1.0,Red,1
hnld008,1,37651.020000000004,25.827522,0,1.2458369,0.87499932,0.7964985177890068,0.05270960946459299,0.25170903489386925,37651.020000000004,37651.020000000004,Hunan,娄底市,Central area,165.5755,1913.2,37651.020000000004,37651.020000000004,1.0,Red,1
bjxa009,1,2250.96,0.0,0,2.3060708,2.3005794,0.697691698037563,0.02602653838185755,0.189146685013832,2250.96,2250.96,Inner Mongol,乌兰浩特市,Western area,257.7787,3768.07,2250.96,2250.96,1.0,Red,2
bjcf010,1,51263.57,18.938276000000002,0,1.3879011,2.6826434,0.697691698037563,0.02602653838185755,0.189146685013832,51263.57,51263.57,Inner Mongol,赤峰市,Western area,257.7787,3768.07,51263.57,51263.57,1.0,Red,2
hnld011,1,69195.39,0.0,0,1.516432,0.45143541,0.7964985177890068,0.05270960946459299,0.25170903489386925,69195.39,69195.39,Hunan,娄底市,Central area,165.5755,1913.2,69195.39,69195.39,1.0,Red,1
gxhc012,1,34868.579999999994,2.6475477,0,2.3060708,1.0626912,0.70185954230726,0.0674344016839936,0.19676732720978388,34868.579999999994,76155.6,Guangxi Zhuangzu,河池市,Western area,-125.5177,1493.003,34868.579999999994,76155.6,0.45785969777665714,Red,2
bjcf013,3,30714.359999999997,66.0923,1,1.2910935,3.5591065,0.697691698037563,0.02602653838185755,0.189146685013832,30714.359999999997,81706.87,Inner Mongol,赤峰市,Western area,257.7787,3768.07,30714.359999999997,81706.87,0.3759091493775248,Green,2
bjzj014,1,40743.58,0.0,0,1.167949,1.2141553,0.697691698037563,0.02602653838185755,0.189146685013832,40743.58,40743.58,Hebei,张家口市,Eastern area,549.064,3292.096,40743.58,40743.58,1.0,Red,3
dbhl015,2,17944.17,0.0,0,0.84405029,2.633013,0.7686943654696622,0.029104031210575552,0.3081954353716442,17944.17,155365.43,Heilongjiang,佳木斯市,Central area,1335.812,4302.042,17944.17,155365.43,0.11549654257063492,Yellow,1
ydxy016,1,65731.14,0.0,1,1.3074555,2.3446537,0.6621007425706285,0.01779819670068548,0.22212737639704153,65731.14,65731.14,Henan,信阳市,Central area,327.5666,2622.538,65731.14,65731.14,1.0,Red,1
yxly017,2,31873.7,67.987068,0,1.3024355,5.7188003,0.7290361651282724,0.02087908830619465,0.28172538469445396,31873.7,31873.7,Henan,洛阳市,Central area,327.5666,2622.538,31873.7,31873.7,1.0,Yellow,1
xbsj018,2,63634.8,1.3851840999999998,0,1.7530201,1.592183,0.69177574771193,0.03045135059379122,0.2527564278261851,63634.8,63634.8,Qinghai,西宁市,Western area,-1236.947,2915.147,63634.8,63634.8,1.0,Yellow,2
xbww019,1,39809.53,8.8235285,1,1.2011543,2.0785917,0.69177574771193,0.03045135059379122,0.2527564278261851,39809.53,101947.89,Gansu,武威市,Western area,-762.6987,3093.822,39809.53,101947.89,0.39048900374495243,Red,2
dbjl020,2,77962.53,8.1004304,0,1.6893838,0.36230679,0.7686943654696622,0.029104031210575552,0.3081954353716442,77962.53,77962.53,Jilin,四平市,Central area,1287.258,3827.894,77962.53,77962.53,1.0,Yellow,1
sddz021,1,38090.45,77.876704,1,1.2887246,1.4273618,0.6899470327975797,0.019919818030096056,0.09335376053505097,38090.45,38090.45,Shandong,德州市,Eastern area,818.8971,3022.989,38090.45,38090.45,1.0,Red,3
hbcz022,1,67139.55,7.69282,0,1.0626221,2.9019752,0.7109781757714158,0.01213319377191041,0.2488844305706367,67139.55,67139.55,Hebei,沧州市,Eastern area,549.064,3292.096,67139.55,67139.55,1.0,Red,3
yxjy023,3,63721.28,46.429518,0,1.1414275,2.413108,0.7290361651282724,0.02087908830619465,0.28172538469445396,63721.28,63721.28,Henan,济源市,Central area,327.5666,2622.538,63721.28,63721.28,1.0,Green,1
ldyt024,1,88948.0,57.149508999999995,1,1.8185416,1.0758443,0.8467148355855535,0.016559034321694505,0.9495546659761421,88948.0,88948.0,Shandong,烟台市,Eastern area,818.8971,3022.989,88948.0,88948.0,1.0,Red,3
gzqn025,3,42298.46,1.9659597,0,0.9392871,2.6442509,0.7882375474307484,0.08463759381221045,0.39795838886757934,42298.46,42298.46,Guizhou,都匀市,Western area,-310.2428,1827.834,42298.46,42298.46,1.0,Green,2
hnld026,1,93034.42,18.243569,1,1.0059577,1.6413722,0.7964985177890068,0.05270960946459299,0.25170903489386925,93034.42,93034.42,Hunan,娄底市,Central area,165.5755,1913.2,93034.42,93034.42,1.0,Red,1
xbwl027,1,157103.61000000002,0.0,0,1.554537,0.65496743,0.69177574771193,0.03045135059379122,0.2527564278261851,157103.61000000002,157103.61000000002,Xinjiang Uygur,乌鲁木齐市,Western area,-2043.23,3686.223,157103.61000000002,157103.61000000002,1.0,Red,2
