source_index,source_position,treatment,propensity_score,match_id,neighbor_rank,matched,match_weight
146,146,1,0.1240183756061205,1,0,True,1.0
132,132,0,0.12638371571132276,1,1,True,0.2
57,57,0,0.1303605584946822,1,2,True,0.2
90,90,0,0.13237251299356187,1,3,True,0.2
151,151,0,0.13301971458931222,1,4,True,0.2
34,34,0,0.13331874621291478,1,5,True,0.2
35,35,1,0.15688890584358103,2,0,True,1.0
74,74,0,0.15714036470931678,2,1,True,0.2
93,93,0,0.15647026881535792,2,2,True,0.2
95,95,0,0.15841678310549295,2,3,True,0.2
73,73,0,0.16008289333058584,2,4,True,0.2
128,128,0,0.16068515988758655,2,5,True,0.2
133,133,1,0.15714047183733656,3,0,True,1.0
74,74,0,0.15714036470931678,3,1,True,0.2
93,93,0,0.15647026881535792,3,2,True,0.2
95,95,0,0.15841678310549295,3,3,True,0.2
73,73,0,0.16008289333058584,3,4,True,0.2
128,128,0,0.16068515988758655,3,5,True,0.2
56,56,1,0.15804022473540247,4,0,True,1.0
95,95,0,0.15841678310549295,4,1,True,0.2
74,74,0,0.15714036470931678,4,2,True,0.2
93,93,0,0.15647026881535792,4,3,True,0.2
73,73,0,0.16008289333058584,4,4,True,0.2
128,128,0,0.16068515988758655,4,5,True,0.2
163,163,1,0.16008731616660513,5,0,True,1.0
73,73,0,0.16008289333058584,5,1,True,0.2
128,128,0,0.16068515988758655,5,2,True,0.2
95,95,0,0.15841678310549295,5,3,True,0.2
74,74,0,0.15714036470931678,5,4,True,0.2
93,93,0,0.15647026881535792,5,5,True,0.2
131,131,1,0.2146958020034002,6,0,True,1.0
147,147,0,0.21279952202266908,6,1,True,0.2
158,158,0,0.2176817665192999,6,2,True,0.2
166,166,0,0.21167277392987854,6,3,True,0.2
19,19,0,0.2109751550370863,6,4,True,0.2
47,47,0,0.21861547117303115,6,5,True,0.2
12,12,1,0.2257049795037612,7,0,True,1.0
168,168,0,0.22968145484114652,7,1,True,0.2
36,36,0,0.23102173879590832,7,2,True,0.2
71,71,0,0.2199831206050572,7,3,True,0.2
4,4,0,0.21887361898574467,7,4,True,0.2
47,47,0,0.21861547117303115,7,5,True,0.2
77,77,1,0.23393511026830266,8,0,True,1.0
159,159,0,0.2339581523143597,8,1,True,0.2
31,31,0,0.2346258933318508,8,2,True,0.2
101,101,0,0.23316109124610646,8,3,True,0.2
28,28,0,0.2365364422232567,8,4,True,0.2
36,36,0,0.23102173879590832,8,5,True,0.2
126,126,1,0.23460916968981294,9,0,True,1.0
31,31,0,0.2346258933318508,9,1,True,0.2
159,159,0,0.2339581523143597,9,2,True,0.2
101,101,0,0.23316109124610646,9,3,True,0.2
28,28,0,0.2365364422232567,9,4,True,0.2
67,67,0,0.23740614517348382,9,5,True,0.2
139,139,1,0.2348196633015716,10,0,True,1.0
31,31,0,0.2346258933318508,10,1,True,0.2
159,159,0,0.2339581523143597,10,2,True,0.2
101,101,0,0.23316109124610646,10,3,True,0.2
28,28,0,0.2365364422232567,10,4,True,0.2
67,67,0,0.23740614517348382,10,5,True,0.2
25,25,1,0.24129693308958097,11,0,True,1.0
72,72,0,0.2436376328448197,11,1,True,0.2
118,118,0,0.23781670899542967,11,2,True,0.2
143,143,0,0.2376622037525879,11,3,True,0.2
67,67,0,0.23740614517348382,11,4,True,0.2
28,28,0,0.2365364422232567,11,5,True,0.2
171,171,1,0.24605788745637353,12,0,True,1.0
72,72,0,0.2436376328448197,12,1,True,0.2
102,102,0,0.2491309545155956,12,2,True,0.2
118,118,0,0.23781670899542967,12,3,True,0.2
143,143,0,0.2376622037525879,12,4,True,0.2
67,67,0,0.23740614517348382,12,5,True,0.2
79,79,1,0.2599055245261027,13,0,True,1.0
85,85,0,0.26066934731782393,13,1,True,0.2
22,22,0,0.26092395439217375,13,2,True,0.2
75,75,0,0.26100662597557983,13,3,True,0.2
64,64,0,0.2617811006259025,13,4,True,0.2
112,112,0,0.2621888391806292,13,5,True,0.2
136,136,1,0.2696140303334413,14,0,True,1.0
48,48,0,0.269131816829687,14,1,True,0.2
167,167,0,0.27013778071182803,14,2,True,0.2
80,80,0,0.2683717839492414,14,3,True,0.2
1,1,0,0.26819921626959975,14,4,True,0.2
69,69,0,0.26813539997813246,14,5,True,0.2
45,45,1,0.2726482407495962,15,0,True,1.0
98,98,0,0.273521252960905,15,1,True,0.2
167,167,0,0.27013778071182803,15,2,True,0.2
152,152,0,0.2760082156789036,15,3,True,0.2
48,48,0,0.269131816829687,15,4,True,0.2
8,8,0,0.27647628825777765,15,5,True,0.2
155,155,1,0.2735371599691658,16,0,True,1.0
98,98,0,0.273521252960905,16,1,True,0.2
152,152,0,0.2760082156789036,16,2,True,0.2
8,8,0,0.27647628825777765,16,3,True,0.2
167,167,0,0.27013778071182803,16,4,True,0.2
48,48,0,0.269131816829687,16,5,True,0.2
55,55,1,0.2746300077614655,17,0,True,1.0
98,98,0,0.273521252960905,17,1,True,0.2
152,152,0,0.2760082156789036,17,2,True,0.2
8,8,0,0.27647628825777765,17,3,True,0.2
167,167,0,0.27013778071182803,17,4,True,0.2
7,7,0,0.2799037584099535,17,5,True,0.2
124,124,1,0.2957700242685338,18,0,True,1.0
21,21,0,0.2899870936472943,18,1,True,0.2
13,13,0,0.30614757080397914,18,2,True,0.2
170,170,0,0.2834285516746535,18,3,True,0.2
