stage,covariate,treated_mean,control_mean,smd,abs_smd
before,x1,41.220339288000005,25.12006346048387,0.3491320883647352,0.3491320883647352
before,x3,4.444413366999999,1.4438358349999998,0.20591956513894044,0.20591956513894044
before,x4,1.6423997128000003,3.8377862369821822,-0.18242336634476852,0.18242336634476852
before,x5,0.7424465203447991,0.7577144552599866,-0.18369902772113939,0.18369902772113939
before,x6,0.02664700399691233,0.029334047457619968,-0.15992818270171075,0.15992818270171075
before,x7,0.311835803856276,0.2705055200189138,0.20304571511031805,0.20304571511031805
before,color_2,0.18,0.29838709677419356,-0.28022979822633104,0.28022979822633104
before,color_3,0.12,0.13709677419354838,-0.05109764865222792,0.05109764865222792
after_2,x1,40.39786075319149,27.113178905319153,0.29089331453402584,0.29089331453402584
after_2,x3,1.4842290372340425,1.3741302124468084,0.22405835918990177,0.22405835918990177
after_2,x4,1.7018141717021276,1.5356064789361707,0.13221986554623746,0.13221986554623746
after_2,x5,0.7391265811334314,0.7357981106930626,0.04255158785262526,0.04255158785262526
after_2,x6,0.02721941091855599,0.02347470385088473,0.24519718229337228,0.24519718229337228
after_2,x7,0.28934738511332914,0.2871561543826501,0.011312250987871164,0.011312250987871164
after_2,color_2,0.19148936170212766,0.13829787234042554,0.14371020451974223,0.14371020451974223
after_2,color_3,0.1276595744680851,0.13829787234042554,-0.0313342629302562,0.0313342629302562
after_5,x1,40.39786075319149,31.2744237906383,0.19329146184561347,0.19329146184561347
after_5,x3,1.4842290372340425,1.4905634885106385,-0.011292520395303828,0.011292520395303828
after_5,x4,1.7018141717021276,1.4995871440560087,0.15289597556150702,0.15289597556150702
after_5,x5,0.7391265811334314,0.7352949189522666,0.049715560360615425,0.049715560360615425
after_5,x6,0.02721941091855599,0.02542355237186149,0.11047549082053518,0.11047549082053518
after_5,x7,0.28934738511332914,0.27848189660632905,0.05769921164467898,0.05769921164467898
after_5,color_2,0.19148936170212766,0.16595744680851066,0.06667901577609303,0.06667901577609303
after_5,color_3,0.1276595744680851,0.11914893617021276,0.02587818053285967,0.02587818053285967
