code,color,y,x1,x2,x3,x4,x5,x6,x7,Overduearea,Planneddeliveryarea,Province,City,Region,province_additional,city_additional,region_additional,firm_id,completion_pct,months_overdue,offset_discount,gov_intervention,contractor_litigation,contractor_soe,Overdue,Planned,O_rate,O_rate_clipped,full_overdue_incidence,completion_stage,completion_low_proxy,x1_int,x1_int_w,supplement_complete
ahbb106,2.0,49695.71,39.756312,0.0,1.3016512,0.64212546,1.0087949151260105,0.019491992058553002,0.19185697048136535,49695.71,49695.71,Anhui,蚌埠市,Central area,Anhui,蚌埠市,Central area,1.0,4.0,4.0,1.1,2.0,0.0,1.0,49695.71,49695.71,1.0,0.9999,1.0,4.0,0.0,0.0007999948486499136,0.0007999948486499136,1
ahbz047,1.0,58967.590000000004,31.681022,0.0,1.4802634,4.3864186,1.0087949151260105,0.019491992058553002,0.19185697048136535,58967.590000000004,58967.590000000004,Anhui,亳州市,Central area,Anhui,亳州市,Central area,0.0,3.0,4.0,1.1,1.0,0.0,1.0,58967.590000000004,58967.590000000004,1.0,0.9999,1.0,3.0,0.0,0.0005372616042134331,0.0005372616042134331,1
ahpy051,3.0,66768.38,7.0792398,0.0,1.4723694,1.7764846,1.0087949151260105,0.019491992058553002,0.19185697048136535,66768.38,66768.38,Anhui,阜阳市,Central area,Anhui,阜阳市,Central area,0.0,1.0,4.0,1.05,1.0,0.0,1.0,66768.38,66768.38,1.0,0.9999,1.0,1.0,1.0,0.00010602683186262718,0.00010602683186262718,1
bjbd028,2.0,52040.4,0.0,0.0,1.1687508,0.95446992,0.697691698037563,0.02602653838185755,0.189146685013832,52040.4,52040.4,Hebei,保定市,Eastern area,Hebei,保定市,Eastern area,1.0,1.0,3.0,1.0,3.0,0.0,1.0,52040.4,52040.4,1.0,0.9999,1.0,1.0,1.0,0.0,0.0,1
bjbd030,2.0,68200.72,1.5059524,0.0,2.3060708,12.93103,0.697691698037563,0.02602653838185755,0.189146685013832,68200.72,68200.72,Hebei,保定市,Eastern area,Hebei,保定市,Eastern area,0.0,1.0,2.0,1.05,0.0,1.0,1.0,68200.72,68200.72,1.0,0.9999,1.0,1.0,1.0,2.208118037463534e-05,2.208118037463534e-05,1
bjcf010,1.0,51263.57,18.938276000000002,0.0,1.3879011,2.6826434,0.697691698037563,0.02602653838185755,0.189146685013832,51263.57,51263.57,Inner Mongol,赤峰市,Western area,Inner Mongol,赤峰市,Western area,0.0,4.0,1.0,0.85,3.0,1.0,0.0,51263.57,51263.57,1.0,0.9999,1.0,4.0,0.0,0.00036942951885715337,0.00036942951885715337,1
bjcf013,3.0,30714.359999999997,66.0923,1.0,1.2910935,3.5591065,0.697691698037563,0.02602653838185755,0.189146685013832,30714.359999999997,81706.87,Inner Mongol,赤峰市,Western area,Inner Mongol,赤峰市,Western area,0.0,4.0,4.0,0.8,1.0,1.0,1.0,30714.359999999997,81706.87,0.3759091493775248,0.3759091493775248,0.0,4.0,0.0,0.0008088952618060146,0.0008088952618060146,1
bjdl115,1.0,55540.409999999996,73.926435,0.0,1.5887936,1.6519334,0.697691698037563,0.02602653838185755,0.189146685013832,55540.409999999996,55540.409999999996,Inner Mongol,包头市,Western area,Inner Mongol,包头市,Western area,0.0,3.0,4.0,0.9,3.0,1.0,1.0,55540.409999999996,55540.409999999996,1.0,0.9999,1.0,3.0,0.0,0.001331038697769786,0.001331038697769786,1
bjhh005,2.0,25504.17,79.07801,0.0,1.1569772,2.6869869,0.697691698037563,0.02602653838185755,0.189146685013832,25504.17,25504.17,Inner Mongol,呼和浩特市,Western area,Inner Mongol,呼和浩特市,Western area,0.0,1.0,2.0,1.2,0.0,1.0,0.0,25504.17,25504.17,1.0,0.9999,1.0,1.0,1.0,0.00310059139348585,0.00310059139348585,1
bjhh159,3.0,109955.20000000001,0.0,0.0,1.2078796,1.2667309,0.697691698037563,0.02602653838185755,0.189146685013832,109955.20000000001,109955.20000000001,Inner Mongol,呼和浩特市,Western area,Inner Mongol,呼和浩特市,Western area,1.0,4.0,1.0,0.9,1.0,1.0,0.0,109955.20000000001,109955.20000000001,1.0,0.9999,1.0,4.0,0.0,0.0,0.0,1
bjtl033,3.0,33029.16,0.0,0.0,2.3060708,2.0522436,0.697691698037563,0.02602653838185755,0.189146685013832,33029.16,33029.16,Inner Mongol,通辽市,Western area,Inner Mongol,通辽市,Western area,0.0,3.0,3.0,1.3,1.0,1.0,1.0,33029.16,33029.16,1.0,0.9999,1.0,3.0,0.0,0.0,0.0,1
bjxa009,1.0,2250.96,0.0,0.0,2.3060708,2.3005794,0.697691698037563,0.02602653838185755,0.189146685013832,2250.96,2250.96,Inner Mongol,乌兰浩特市,Western area,Inner Mongol,乌兰浩特市,Western area,0.0,4.0,1.0,1.05,1.0,1.0,0.0,2250.96,2250.96,1.0,0.9999,1.0,4.0,0.0,0.0,0.0,1
bjzj014,1.0,40743.58,0.0,0.0,1.167949,1.2141553,0.697691698037563,0.02602653838185755,0.189146685013832,40743.58,40743.58,Hebei,张家口市,Eastern area,Hebei,张家口市,Eastern area,1.0,2.0,2.0,1.3,2.0,1.0,0.0,40743.58,40743.58,1.0,0.9999,1.0,2.0,1.0,0.0,0.0,1
cqcq004,1.0,29996.420000000002,0.0,0.0,0.94103651,4.7049288,0.837401393989272,0.013236715749527212,0.23258508058407049,29996.420000000002,29996.420000000002,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,2.0,4.0,0.9,1.0,0.0,0.0,29996.420000000002,29996.420000000002,1.0,0.9999,1.0,2.0,1.0,0.0,0.0,1
cqcq075,3.0,25115.81,5.9603544,0.0,1.5281005,2.3380821,0.837401393989272,0.013236715749527212,0.23258508058407049,25115.81,25115.81,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,3.0,4.0,0.9,1.0,0.0,1.0,25115.81,25115.81,1.0,0.9999,1.0,3.0,0.0,0.0002373148387410161,0.0002373148387410161,1
cqcq081,1.0,37327.14,4.6622446,0.0,1.0536068,0.92574566,0.837401393989272,0.013236715749527212,0.23258508058407049,37327.14,37327.14,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,0.0,4.0,4.0,1.05,1.0,1.0,0.0,37327.14,37327.14,1.0,0.9999,1.0,4.0,0.0,0.00012490227218050996,0.00012490227218050996,1
cqcq086,1.0,77467.6,0.0,0.0,1.6843918,1.126069,0.837401393989272,0.013236715749527212,0.23258508058407049,77467.6,77467.6,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,2.0,1.0,1.2,1.0,1.0,1.0,77467.6,77467.6,1.0,0.9999,1.0,2.0,1.0,0.0,0.0,1
cqcq089,1.0,27551.030000000002,124.45975,0.0,2.3060708,0.69758461,0.837401393989272,0.013236715749527212,0.23258508058407049,27551.030000000002,27551.030000000002,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,1.0,1.0,3.0,1.0,1.0,1.0,0.0,27551.030000000002,27551.030000000002,1.0,0.9999,1.0,1.0,1.0,0.00451742639022933,0.00451742639022933,1
cqcq102,1.0,23253.98,19.285922,0.0,1.3765637,2.6113409,0.837401393989272,0.013236715749527212,0.23258508058407049,23253.98,23253.98,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,2.0,3.0,1.1,1.0,0.0,0.0,23253.98,23253.98,1.0,0.9999,1.0,2.0,1.0,0.0008293600493334904,0.0008293600493334904,1
cqcq108,2.0,20086.179999999997,3.8333019999999998,0.0,1.5467326,0.30605156,0.837401393989272,0.013236715749527212,0.23258508058407049,20086.179999999997,20086.179999999997,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,1.0,3.0,1.0,0.95,2.0,1.0,0.0,20086.179999999997,20086.179999999997,1.0,0.9999,1.0,3.0,0.0,0.00019084275855339345,0.00019084275855339345,1
cqcq134,2.0,20124.68,0.7199262799999999,1.0,1.5293583,0.58216678,0.837401393989272,0.013236715749527212,0.23258508058407049,20124.68,26598.38,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,4.0,4.0,0.95,2.0,1.0,1.0,20124.68,26598.38,0.7566129967313798,0.7566129967313798,0.0,4.0,0.0,2.7066546158074283e-05,2.7066546158074283e-05,1
cqcq152,2.0,36923.28,7.733828,0.0,1.1745815,1.8463665,0.837401393989272,0.013236715749527212,0.23258508058407049,36923.28,36923.28,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,1.0,3.0,1.3,1.0,1.0,0.0,36923.28,36923.28,1.0,0.9999,1.0,1.0,1.0,0.00020945668965487358,0.00020945668965487358,1
cqcs099,1.0,54281.27,2.7405179,0.0,1.0382076,0.70317891,0.837401393989272,0.013236715749527212,0.23258508058407049,54281.27,54281.27,Chongqing City,重庆市,Western area,Chongqing City,重庆市,Western area,2.0,3.0,4.0,1.05,1.0,1.0,0.0,54281.27,54281.27,1.0,0.9999,1.0,3.0,0.0,5.0487357793949924e-05,5.0487357793949924e-05,1
dbdd144,2.0,43437.270000000004,8.6996598,0.0,4.2062178,0.16266296,0.7686943654696622,0.029104031210575552,0.3081954353716442,43437.270000000004,43437.270000000004,Liaoning,丹东市,Eastern area,Liaoning,丹东市,Eastern area,0.0,3.0,4.0,0.9,0.0,0.0,1.0,43437.270000000004,43437.270000000004,1.0,0.9999,1.0,3.0,0.0,0.00020028099832240836,0.00020028099832240836,1
dbdl121,1.0,19372.23,3.0666387,1.0,1.8640176,1.0040187,0.7686943654696622,0.029104031210575552,0.3081954353716442,19372.23,28312.469999999998,Liaoning,大连市,Eastern area,Liaoning,大连市,Eastern area,2.0,3.0,4.0,1.3,2.0,0.0,1.0,19372.23,28312.469999999998,0.6842295991836813,0.6842295991836813,0.0,3.0,0.0,0.00010831406443874379,0.00010831406443874379,1
dbhl015,2.0,17944.17,0.0,0.0,0.84405029,2.633013,0.7686943654696622,0.029104031210575552,0.3081954353716442,17944.17,155365.43,Heilongjiang,佳木斯市,Central area,Heilongjiang,佳木斯市,Central area,0.0,1.0,2.0,1.1,3.0,0.0,0.0,17944.17,155365.43,0.11549654257063492,0.11549654257063492,0.0,1.0,1.0,0.0,0.0,1
dbhs088,2.0,21949.09,10.697173,0.0,1.704364,0.99336242,0.7686943654696622,0.029104031210575552,0.3081954353716442,21949.09,21949.09,Liaoning,沈阳市,Eastern area,Liaoning,沈阳市,Eastern area,0.0,1.0,1.0,0.95,2.0,0.0,1.0,21949.09,21949.09,1.0,0.9999,1.0,1.0,1.0,0.000487362938509068,0.000487362938509068,1
dbjl020,2.0,77962.53,8.1004304,0.0,1.6893838,0.36230679,0.7686943654696622,0.029104031210575552,0.3081954353716442,77962.53,77962.53,Jilin,四平市,Central area,Jilin,四平市,Central area,1.0,3.0,2.0,1.0,3.0,0.0,1.0,77962.53,77962.53,1.0,0.9999,1.0,3.0,0.0,0.00010390158451758813,0.00010390158451758813,1
dbly157,1.0,21681.750000000004,4.4213891,0.0,1.0710993,0.44076713,0.7686943654696622,0.029104031210575552,0.3081954353716442,21681.750000000004,21681.750000000004,Jilin,辽源市,Central area,Jilin,辽源市,Central area,1.0,1.0,1.0,0.9,1.0,1.0,1.0,21681.750000000004,21681.750000000004,1.0,0.9999,1.0,1.0,1.0,0.00020392215111787558,0.00020392215111787558,1
dbsy114,3.0,120146.36,159.81272,1.0,2.9782907,0.35485208,0.7686943654696622,0.029104031210575552,0.3081954353716442,120146.36,120146.36,Liaoning,沈阳市,Eastern area,Liaoning,沈阳市,Eastern area,0.0,3.0,4.0,0.8,1.0,0.0,1.0,120146.36,120146.36,1.0,0.9999,1.0,3.0,0.0,0.001330150326651594,0.001330150326651594,1
dbyk127,2.0,84311.77,34.117672,1.0,1.641082,0.58585612,0.7686943654696622,0.029104031210575552,0.3081954353716442,84311.77,84311.77,Liaoning,营口市,Eastern area,Liaoning,营口市,Eastern area,0.0,1.0,3.0,0.9,2.0,1.0,1.0,84311.77,84311.77,1.0,0.9999,1.0,1.0,1.0,0.0004046608439130147,0.0004046608439130147,1
gxbs046,1.0,63128.75,6.6904441,1.0,1.937248,0.98377777,0.70185954230726,0.0674344016839936,0.19676732720978388,63128.75,63128.75,Guangxi Zhuangzu,百色市,Western area,Guangxi Zhuangzu,百色市,Western area,2.0,2.0,1.0,1.2,1.0,0.0,0.0,63128.75,63128.75,1.0,0.9999,1.0,2.0,1.0,0.00010598093737005722,0.00010598093737005722,1
gxgl002,1.0,45528.34,4.9803043,0.0,1.1788913,0.85340009,0.70185954230726,0.0674344016839936,0.19676732720978388,45528.34,45528.34,Guangxi Zhuangzu,桂林市,Western area,Guangxi Zhuangzu,桂林市,Western area,2.0,2.0,2.0,1.2,1.0,0.0,0.0,45528.34,45528.34,1.0,0.9999,1.0,2.0,1.0,0.000109389103578123,0.000109389103578123,1
gxgl117,2.0,45253.06,42.212340000000005,0.0,1.2780872,1.012855,0.70185954230726,0.0674344016839936,0.19676732720978388,45253.06,45253.06,Guangxi Zhuangzu,桂林市,Western area,Guangxi Zhuangzu,桂林市,Western area,2.0,2.0,3.0,1.2,3.0,0.0,0.0,45253.06,45253.06,1.0,0.9999,1.0,2.0,1.0,0.0009328063118825557,0.0009328063118825557,1
gxhc012,1.0,34868.579999999994,2.6475477,0.0,2.3060708,1.0626912,0.70185954230726,0.0674344016839936,0.19676732720978388,34868.579999999994,76155.6,Guangxi Zhuangzu,河池市,Western area,Guangxi Zhuangzu,河池市,Western area,1.0,1.0,4.0,1.2,1.0,0.0,1.0,34868.579999999994,76155.6,0.45785969777665714,0.45785969777665714,0.0,1.0,1.0,3.476497723082741e-05,3.476497723082741e-05,1
gxhz096,2.0,41222.23,3.976417,0.0,1.2858387,0.47134166,0.70185954230726,0.0674344016839936,0.19676732720978388,41222.23,75662.01000000001,Guangxi Zhuangzu,贺州市,Western area,Guangxi Zhuangzu,贺州市,Western area,1.0,3.0,1.0,1.2,2.0,0.0,1.0,41222.23,75662.01000000001,0.5448207098912651,0.5448207098912651,0.0,3.0,0.0,5.255500085181453e-05,5.255500085181453e-05,1
gxhz098,1.0,83009.15,183.04029,0.0,1.4833309,0.39831237,0.70185954230726,0.0674344016839936,0.19676732720978388,83009.15,83009.15,Guangxi Zhuangzu,贺州市,Western area,Guangxi Zhuangzu,贺州市,Western area,3.0,3.0,1.0,1.2,1.0,1.0,1.0,83009.15,83009.15,1.0,0.9999,1.0,3.0,0.0,0.0022050616106778593,0.0022050616106778593,1
gxlb133,2.0,33419.32,31.825201000000003,0.0,1.1533726,2.9698394,0.70185954230726,0.0674344016839936,0.19676732720978388,33419.32,33419.32,Guangxi Zhuangzu,柳州市,Western area,Guangxi Zhuangzu,柳州市,Western area,0.0,1.0,1.0,1.0,1.0,0.0,1.0,33419.32,33419.32,1.0,0.9999,1.0,1.0,1.0,0.0009522994782658655,0.0009522994782658655,1
gxlz140,1.0,3232.97,4.4567385,1.0,1.1982991,1.8264443,0.70185954230726,0.0674344016839936,0.19676732720978388,3232.97,73090.62,Guangxi Zhuangzu,柳州市,Western area,Guangxi Zhuangzu,柳州市,Western area,1.0,3.0,3.0,1.0,1.0,0.0,0.0,3232.97,73090.62,0.04423235156576863,0.04423235156576863,0.0,3.0,0.0,6.097551915690414e-05,6.097551915690414e-05,1
gxqz092,1.0,62258.6,2.8640336000000004,0.0,1.8216977,0.54214808,0.70185954230726,0.0674344016839936,0.19676732720978388,62258.6,62258.6,Guangxi Zhuangzu,钦州市,Western area,Guangxi Zhuangzu,钦州市,Western area,1.0,1.0,2.0,1.2,1.0,1.0,0.0,62258.6,62258.6,1.0,0.9999,1.0,1.0,1.0,4.600221656124617e-05,4.600221656124617e-05,1
gxqz154,1.0,82601.31,115.5933,1.0,1.3172255,0.50277987,0.70185954230726,0.0674344016839936,0.19676732720978388,82601.31,82601.31,Guangxi Zhuangzu,钦州市,Western area,Guangxi Zhuangzu,钦州市,Western area,1.0,5.0,1.0,1.3,2.0,1.0,0.0,82601.31,82601.31,1.0,0.9999,1.0,5.0,0.0,0.0013994124306261004,0.0013994124306261004,1
gzbg049,1.0,67214.69,0.0,0.0,2.428304,1.075095,0.7882375474307484,0.08463759381221045,0.39795838886757934,67214.69,100898.93999999999,Guizhou,贵阳市,Western area,Guizhou,贵阳市,Western area,1.0,3.0,4.0,1.0,1.0,1.0,0.0,67214.69,100898.93999999999,0.6661585344702334,0.6661585344702334,0.0,3.0,0.0,0.0,0.0,1
gzbj074,2.0,12025.93,15.49201,0.0,1.1449148,0.93258651,0.7882375474307484,0.08463759381221045,0.39795838886757934,12025.93,77834.58,Guizhou,毕节市,Western area,Guizhou,毕节市,Western area,1.0,4.0,1.0,1.0,3.0,0.0,0.0,12025.93,77834.58,0.15450626186972422,0.15450626186972422,0.0,4.0,0.0,0.00019903762569284758,0.00019903762569284758,1
gzqn025,3.0,42298.46,1.9659597,0.0,0.9392871,2.6442509,0.7882375474307484,0.08463759381221045,0.39795838886757934,42298.46,42298.46,Guizhou,都匀市,Western area,Guizhou,都匀市,Western area,0.0,2.0,2.0,0.85,1.0,0.0,0.0,42298.46,42298.46,1.0,0.9999,1.0,2.0,1.0,4.647828076955993e-05,4.647828076955993e-05,1
gzzy070,1.0,8248.0,9.3760013,0.0,1.3598859,1.1939849,0.7882375474307484,0.08463759381221045,0.39795838886757934,8248.0,8248.0,Guizhou,遵义市,Western area,Guizhou,遵义市,Western area,1.0,4.0,3.0,0.9,3.0,0.0,1.0,8248.0,8248.0,1.0,0.9999,1.0,4.0,0.0,0.001136760584384093,0.001136760584384093,1
