variable,count,mean,std,min,25%,50%,75%,max
y,174.0,54751.53189655173,35392.98581407921,1515.43,28680.784999999996,46966.97,74793.6,195118.33
x1,174.0,29.746579502873566,47.24144462002953,0.0,1.08090155,10.00510595,33.78614775,285.90215
x2,174.0,0.28735632183908044,0.4538351914201498,0.0,0.0,0.0,1.0,1.0
x3,174.0,2.3060707579885054,11.168691453447767,0.00309649,1.130675225,1.30122655,1.6881358,148.5982
x4,174.0,3.206928040378106,14.420582834958426,0.00140317,0.698983185,1.4358154,2.72217165,190.14865
x5,174.0,0.7533271176406803,0.08654011852154234,0.5358266188939392,0.69177574771193,0.7109781757714158,0.7964985177890068,1.0321278545865147
x6,174.0,0.028561908532129265,0.017981158101023298,0.008970670937271734,0.016559034321694505,0.02065400036836134,0.03045135059379122,0.08463759381221045
x7,174.0,0.2823820383629834,0.18388857387365004,0.09335376053505097,0.19676732720978388,0.2488844305706367,0.28172538469445396,0.9495546659761421
O_rate,174.0,0.8628609817540299,0.25972771255279764,0.04423235156576863,1.0,1.0,1.0,1.0
completion_stage,174.0,2.2988505747126435,1.2641334396595811,1.0,1.0,2.0,3.0,5.0
months_overdue,174.0,2.3908045977011496,1.1415061730451248,1.0,1.0,2.0,3.0,4.0
offset_discount,174.0,1.0218390804597701,0.14409397010671499,0.8,0.9,1.0,1.1,1.3
gov_intervention,174.0,1.5804597701149425,0.8813204859472153,0.0,1.0,1.0,2.0,3.0
