model,term,coefficient,std_error,p_value,conf_low,conf_high,n,covariance,converged,warning,interpretation_status
full_overdue_logit_base,Intercept,-0.6632457549505506,1.86813300320121,0.7225661161141845,-4.324719159555571,2.9982276496544706,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,C(color)[T.2.0],-0.2576991378316657,0.515476801223354,0.6171287106189755,-1.2680151030953521,0.7526168274320206,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,C(color)[T.3.0],0.43217002383511177,0.7006326541091669,0.537348007090408,-0.9410447446115644,1.805384792281788,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x1,0.008433306623509527,0.0054103799654267055,0.11906095197743201,-0.002170843251403879,0.019037456498422933,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x2,-0.3092399299847161,0.5179052524959352,0.5504422888863209,-1.3243155722808722,0.7058357123114398,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x3,0.049433084395366346,0.1554290997006343,0.7504525771898888,-0.2552023531673621,0.35406852195809485,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x4,0.010516383974266234,0.011994382404461164,0.3806084374683958,-0.012992173555278583,0.03402494150381105,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x5,2.2414616569683856,2.2815751603759837,0.32589371372790377,-2.2303434853897404,6.713266799326512,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x6,-5.81084964533282,8.759930894466226,0.5071101130009357,-22.979998705546365,11.358299414880726,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_base,x7,0.3600014536986708,0.6932875310241505,0.6035744444526497,-0.9988171380393596,1.7188200454367013,174,cluster:Province,True,,exploratory_only_codebook_review_required
full_overdue_logit_supplement,Intercept,-1.0655061384811266,2.8018952983433527,0.7037372106519364,-6.557120011686207,4.426107734723955,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(color)[T.2.0],-0.3605294228117707,0.6657229496136415,0.5881211338961714,-1.6653224277362813,0.9442635821127398,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(color)[T.3.0],0.6944543951208388,0.6951629061812535,0.31780399305461726,-0.6680398643826146,2.0569486546242923,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(completion_stage)[T.2.0],0.5077598260675514,0.691581218146016,0.46282606425537065,-0.8477144538829785,1.8632341060180813,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
