model,target,observed_coefficient,wild_cluster_p_value,repetitions,clusters,n,note
severity_ols,x1_int_w,-8.033298952532078,0.7688442211055276,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(completion_stage)[T.2.0],-0.23193112225099946,0.04522613065326633,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(completion_stage)[T.3.0],-0.08493158618435018,0.3165829145728643,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(completion_stage)[T.4.0],-0.13293433793726728,0.11055276381909548,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(completion_stage)[T.5.0],-0.16682237047918003,0.36180904522613067,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(gov_intervention)[T.1.0],-0.24103721379960402,0.03015075376884422,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(gov_intervention)[T.2.0],-0.11558433568762613,0.38190954773869346,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,C(gov_intervention)[T.3.0],-0.35742931613369555,0.01507537688442211,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,contractor_litigation,0.004476765063503095,0.9547738693467337,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
severity_ols,contractor_soe,0.08767844786580728,0.05527638190954774,199,16,42,Rademacher wild-cluster bootstrap; exploratory with few province clusters
